tradingSymbol,amc,fund,fundLowerCase,purchaseAllowed,redemptionAllowed,minPurchaseAmt,purchaseAmtMulti,minAdditionalPurchaseAmt,minRedemptionQty,redemptionQtyMulti,dividendType,formattedDividendType,dividendInterval,dividend,formattedDividendTypeToIDCW,lastDividendDate,lastDividendPercent,scheme,subScheme,plan,settlementType,lastPrice,lastPriceDate,changePercent,launchDate,exitLoad,exitLoadSlab,expenseRatio,oneYearPercent,twoYearPercent,threeYearPercent,fourYearPercent,fiveYearPercent,amcSipFlag,aum,manager,lockIn,risk,fileNamePath,fundPrimaryDetail,type,name,full_name,isin,haircut,value
INF090I01JX8,FRANKLINTEMPLETON,Franklin India Liquid Fund,franklin india liquid fund,TRUE,TRUE,10000,1,1000,0.001,0.001,P,Dividend weekly payout,WEEKLY,dividend weekly payout,IDCW Weekly,18-12-2022,0.122,Debt,Liquid,Direct,T1,1022.3345,23-12-2022,0.0179,01-01-2013,0.007,If redeemed/switched out within 1 day from the date of allotment: 0.0070%If redemption/switch out within 2 days from the date of allotment: 0.0065%If redemption/switch out within 3 days from the date of allotment: 0.0060%If redemption/switch out within 4 days from the date of allotment: 0.0055%If redemption/switch out within 5 days from the date of allotment: 0.0050%If redemption/switch out within 6 days from the date of allotment: 0.0045%If redemption/switch out 7 days onwards from the date of allotment: Nil.,0.13,0.0556,0.0332,0.026,0.0231,0.0008,TRUE,14827400000,Mr. Umesh Sharma,0,2,Coins_SVGs-75.svg,inf090i01jx8 franklin india liquid fund debt liquid dividend weekly payout,mf,FILFDSIPDP,FRANKLIN INDIA LIQUID FUND - SUPER INSTITUTIONAL PLAN - DIRECT WEEKLY IDCW PAYOUT,INF090I01JX8,10,90
INF090I01LA2,FRANKLINTEMPLETON,Franklin India Savings Fund - Retail Plan,franklin india savings fund - retail plan,FALSE,TRUE,10000,1,1000,0.001,0.001,P,Dividend monthly payout,MONTHLY,dividend monthly payout,IDCW Monthly,18-11-2022,0.35,Debt,Money Market,Regular,T1,10.2132,23-12-2022,0.0264,25-04-2014,0,Nil,0.29,0.6058,0.3301,0.0153,0.0277,0.3049,FALSE,9445700000,Mr. Umesh Sharma,0,2,Coins_SVGs-75.svg,inf090i01la2 franklin india savings fund - retail plan debt money market dividend monthly payout,mf,FLMDP,FRANKLIN INDIA SAVINGS FUND RETAIL OPTION-MONTHLY IDCW PAYOUT,INF090I01LA2,10,90
INF109K016C9,ICICIPrudentialMutualFund_MF,ICICI Prudential Gilt Fund,icici prudential gilt fund,TRUE,TRUE,5000,1,5000,0.001,0.001,P,Dividend interim payout,INTERIM,dividend interim payout,IDCW Interim,16-03-2022,12.5,Debt,Gilt,Direct,T1,16.8013,23-12-2022,0.0363,01-01-2013,0,Nil,0.57,-3.3169,0.6206,4.6276,6.1989,6.1048,TRUE,25537500000,Mr. Rahul Goswami,0,2,Coins_SVGs-96.svg,inf109k016c9 icici prudential gilt fund debt gilt dividend interim payout,mf,IPRU8016P,ICICI PRUDENTIAL GILT FUND - DIRECT PLAN - IDCW PAYOUT,INF109K016C9,10,90
INF109K018C5,ICICIPrudentialMutualFund_MF,ICICI Prudential Gilt Fund,icici prudential gilt fund,TRUE,TRUE,5000,1,5000,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Gilt,Direct,T1,89.0662,23-12-2022,0.0366,01-01-2013,0,Nil,0.57,4.2101,4.464,7.2753,8.2081,7.9646,TRUE,25537500000,Mr. Rahul Goswami,0,2,Coins_SVGs-96.svg,inf109k018c5 icici prudential gilt fund debt gilt growth,mf,IPRU8015,ICICI PRUDENTIAL GILT FUND - DIRECT PLAN - GROWTH,INF109K018C5,10,90
INF109K01JQ6,ICICIPrudentialMutualFund_MF,ICICI Prudential Gilt Fund,icici prudential gilt fund,FALSE,TRUE,5000,1,5000,0.001,0.001,P,Dividend interim payout,INTERIM,dividend interim payout,IDCW Interim,16-03-2022,12.5,Debt,Gilt,Regular,T1,16.0551,23-12-2022,0.0355,19-08-1999,0,Nil,1.05,-4.167,-0.1278,3.936,5.5372,5.5177,FALSE,25537500000,Mr. Rahul Goswami,0,2,Coins_SVGs-96.svg,inf109k01jq6 icici prudential gilt fund debt gilt dividend interim payout,mf,IP54P,ICICI PRUDENTIAL GILT FUND - IDCW PAYOUT,INF109K01JQ6,10,90
INF109K01JR4,ICICIPrudentialMutualFund_MF,ICICI Prudential Gilt Fund,icici prudential gilt fund,FALSE,TRUE,5000,1,5000,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Gilt,Regular,T1,83.7616,23-12-2022,0.0352,19-08-1999,0,Nil,1.05,3.6059,3.8434,6.6734,7.615,7.3806,FALSE,25537500000,Mr. Rahul Goswami,0,2,Coins_SVGs-96.svg,inf109k01jr4 icici prudential gilt fund debt gilt growth,mf,IPRU53,ICICI PRUDENTIAL GILT FUND - GROWTH,INF109K01JR4,10,90
INF109K01Q49,ICICIPrudentialMutualFund_MF,ICICI Prudential Liquid Fund,icici prudential liquid fund,TRUE,TRUE,99,1,1,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Liquid,Direct,T1,327.0964,23-12-2022,0.0174,01-01-2013,0.007,If redeemed/switched out within 1 day from the date of allotment: 0.0070%If redemption/switch out within 2 days from the date of allotment: 0.0065%If redemption/switch out within 3 days from the date of allotment: 0.0060%If redemption/switch out within 4 days from the date of allotment: 0.0055%If redemption/switch out within 5 days from the date of allotment: 0.0050%If redemption/switch out within 6 days from the date of allotment: 0.0045%If redemption/switch out 7 days onwards from the date of allotment: Nil.,0.2,4.7727,4.0529,4.1797,4.811,5.3365,TRUE,4.32611E+11,Mr. Rahul Goswami,0,3,Coins_SVGs-96.svg,inf109k01q49 icici prudential liquid fund debt liquid growth,mf,IPRU8096,ICICI PRUDENTIAL LIQUID FUND - DIRECT PLAN - GROWTH,INF109K01Q49,10,90
INF109K01R14,ICICIPrudentialMutualFund_MF,ICICI Prudential Money Market Fund,icici prudential money market fund,TRUE,TRUE,500,1,1,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Money Market,Direct,T1,317.9469,23-12-2022,0.0213,01-01-2013,0,Nil,0.21,4.7906,4.2984,4.9842,5.7709,6.1525,TRUE,1.14963E+11,Mr. Rahul Goswami,0,3,Coins_SVGs-96.svg,inf109k01r14 icici prudential money market fund debt money market growth,mf,IPRU8101,ICICI PRUDENTIAL MONEY MARKET FUND - DIRECT PLAN - GROWTH,INF109K01R14,10,90
INF109K01TX1,ICICIPrudentialMutualFund_MF,ICICI Prudential Money Market Fund,icici prudential money market fund,FALSE,TRUE,500,1,1,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Money Market,Regular,T1,314.9179,23-12-2022,0.0211,09-03-2006,0,Nil,0.33,4.6656,4.1737,4.8591,5.6446,6.0257,FALSE,1.14963E+11,Mr. Rahul Goswami,0,3,Coins_SVGs-96.svg,inf109k01tx1 icici prudential money market fund debt money market growth,mf,IPRU1571,ICICI PRUDENTIAL MONEY MARKET FUND - GROWTH,INF109K01TX1,10,90
INF109K01TZ6,ICICIPrudentialMutualFund_MF,ICICI Prudential Money Market Fund,icici prudential money market fund,FALSE,FALSE,500,1,1,0.001,0.001,R,Dividend reinvest,WEEKLY,dividend reinvest,Dividend reinvest,12-12-2022,0.126,Debt,Money Market,Regular,T1,100.7813,23-12-2022,0.0211,09-03-2006,0,Nil,0.33,0.0636,0.0318,0.0097,0.1485,0.1292,FALSE,1.14963E+11,Mr. Rahul Goswami,0,3,Coins_SVGs-96.svg,inf109k01tz6 icici prudential money market fund debt money market dividend reinvest,mf,IPRU1573,ICICI PRUDENTIAL MONEY MARKET FUND - WEEKLY IDCW REINVESTMENT,INF109K01TZ6,10,90
INF109K01VP3,ICICIPrudentialMutualFund_MF,ICICI Prudential Liquid Fund,icici prudential liquid fund,FALSE,FALSE,99,1,1,0.001,0.001,R,Dividend reinvest,DAILY,dividend reinvest,Dividend reinvest,18-12-2022,0.035,Debt,Liquid,Regular,T1,100.1482,23-12-2022,0,17-11-2005,0.007,If redeemed/switched out within 1 day from the date of allotment: 0.0070%If redemption/switch out within 2 days from the date of allotment: 0.0065%If redemption/switch out within 3 days from the date of allotment: 0.0060%If redemption/switch out within 4 days from the date of allotment: 0.0055%If redemption/switch out within 5 days from the date of allotment: 0.0050%If redemption/switch out within 6 days from the date of allotment: 0.0045%If redemption/switch out 7 days onwards from the date of allotment: Nil.,0.29,0,0,0,0,0.0098,FALSE,4.32611E+11,Mr. Rahul Goswami,0,3,Coins_SVGs-96.svg,inf109k01vp3 icici prudential liquid fund debt liquid dividend reinvest,mf,IPRU1564,ICICI PRUDENTIAL LIQUID FUND - DAILY IDCW REINVESTMENT,INF109K01VP3,10,90
INF109K01VQ1,ICICIPrudentialMutualFund_MF,ICICI Prudential Liquid Fund,icici prudential liquid fund,FALSE,TRUE,99,1,1,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Liquid,Regular,T1,324.6903,23-12-2022,0.0172,17-11-2005,0.007,If redeemed/switched out within 1 day from the date of allotment: 0.0070%If redemption/switch out within 2 days from the date of allotment: 0.0065%If redemption/switch out within 3 days from the date of allotment: 0.0060%If redemption/switch out within 4 days from the date of allotment: 0.0055%If redemption/switch out within 5 days from the date of allotment: 0.0050%If redemption/switch out within 6 days from the date of allotment: 0.0045%If redemption/switch out 7 days onwards from the date of allotment: Nil.,0.29,4.675,3.942,4.0667,4.7074,5.2384,FALSE,4.32611E+11,Mr. Rahul Goswami,0,3,Coins_SVGs-96.svg,inf109k01vq1 icici prudential liquid fund debt liquid growth,mf,IPRU1565,ICICI PRUDENTIAL LIQUID FUND - GROWTH,INF109K01VQ1,10,90
INF109K01VS7,ICICIPrudentialMutualFund_MF,ICICI Prudential Liquid Fund,icici prudential liquid fund,FALSE,FALSE,99,1,1,0.001,0.001,R,Dividend reinvest,WEEKLY,dividend reinvest,Dividend reinvest,12-12-2022,0.121,Debt,Liquid,Regular,T1,100.2343,23-12-2022,0.0172,17-11-2005,0.007,If redeemed/switched out within 1 day from the date of allotment: 0.0070%If redemption/switch out within 2 days from the date of allotment: 0.0065%If redemption/switch out within 3 days from the date of allotment: 0.0060%If redemption/switch out within 4 days from the date of allotment: 0.0055%If redemption/switch out within 5 days from the date of allotment: 0.0050%If redemption/switch out within 6 days from the date of allotment: 0.0045%If redemption/switch out 7 days onwards from the date of allotment: Nil.,0.29,0.0506,0.0297,-0.0071,-0.0099,0.0016,FALSE,4.32611E+11,Mr. Rahul Goswami,0,3,Coins_SVGs-96.svg,inf109k01vs7 icici prudential liquid fund debt liquid dividend reinvest,mf,IPRU1567,ICICI PRUDENTIAL LIQUID FUND - WEEKLY IDCW REINVESTMENT,INF109K01VS7,10,90
INF109K01VU3,ICICIPrudentialMutualFund_MF,ICICI Prudential Liquid Fund,icici prudential liquid fund,FALSE,TRUE,99,1,100,0.001,0.001,P,Dividend payout,null,dividend payout,IDCW Payout,16-03-2022,6,Debt,Liquid,Regular,T1,150.899,23-12-2022,0.0172,19-06-2011,0.007,If redeemed/switched out within 1 day from the date of allotment: 0.0070%If redemption/switch out within 2 days from the date of allotment: 0.0065%If redemption/switch out within 3 days from the date of allotment: 0.0060%If redemption/switch out within 4 days from the date of allotment: 0.0055%If redemption/switch out within 5 days from the date of allotment: 0.0050%If redemption/switch out within 6 days from the date of allotment: 0.0045%If redemption/switch out 7 days onwards from the date of allotment: Nil.,0.29,0.5245,-0.2997,1.2159,2.5488,3.4991,FALSE,4.32611E+11,Mr. Rahul Goswami,0,3,Coins_SVGs-96.svg,inf109k01vu3 icici prudential liquid fund debt liquid dividend payout,mf,IPRU1780P,ICICI PRUDENTIAL LIQUID FUND - IDCW PAYOUT,INF109K01VU3,10,90
INF109KC11G1,ICICIPrudentialMutualFund_MF,ICICI Prudential Overnight Fund,icici prudential overnight fund,TRUE,TRUE,100,1,100,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Overnight,Direct,T1,1188.2547,23-12-2022,0.0172,14-11-2018,0,Nil,0.1,4.6234,3.8953,3.7291,4.2308,0,TRUE,1.33627E+11,Mr. Rahul Goswami,0,1,Coins_SVGs-96.svg,inf109kc11g1 icici prudential overnight fund debt overnight growth,mf,IPRU9425,ICICI PRUDENTIAL OVERNIGHT FUND DIRECT PLAN GROWTH,INF109KC11G1,10,90
INF109KC17E3,ICICIPrudentialMutualFund_MF,ICICI Prudential Overnight Fund,icici prudential overnight fund,FALSE,TRUE,100,1,100,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Overnight,Regular,T1,1183.4861,23-12-2022,0.0169,14-11-2018,0,Nil,0.19,4.528,3.796,3.6283,4.1288,0,FALSE,1.33627E+11,Mr. Rahul Goswami,0,1,Coins_SVGs-96.svg,inf109kc17e3 icici prudential overnight fund debt overnight growth,mf,IPRU3223,ICICI PRUDENTIAL OVERNIGHT FUND GROWTH,INF109KC17E3,10,90
INF173K01DA9,SUNDARAMMUTUALFUND_MF,Sundaram Liquid Fund,sundaram liquid fund,FALSE,TRUE,1000,1,500,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Liquid,Regular,T1,1936.2415,23-12-2022,0.0181,30-08-2004,0.007,If redeemed/switched out within 1 day from the date of allotment: 0.0070%\\rIf redemption/switch out within 2 days from the date of allotment: 0.0065%\\rIf redemption/switch out within 3 days from the date of allotment: 0.0060%\\rIf redemption/switch out within 4 days from the date of allotment: 0.0055%\\rIf redemption/switch out within 5 days from the date of allotment: 0.0050%\\rIf redemption/switch out within 6 days from the date of allotment: 0.0045%\\rIf redemption/switch out 7 days onwards from the date of allotment: Nil.,0.28,4.7393,3.9525,3.9046,4.4773,3.1927,FALSE,35836600000,Mr. Dwijendra Srivastava,0,3,Coins_SVGs-40.svg,inf173k01da9 sundaram liquid fund debt liquid growth,mf,PMFLFPG,SUNDARAM LIQUID FUND - REGULAR PLAN GROWTH,INF173K01DA9,10,90
INF173K01GU0,SUNDARAMMUTUALFUND_MF,Sundaram Liquid Fund,sundaram liquid fund,TRUE,TRUE,1000,1,500,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Liquid,Direct,T1,1951.4057,23-12-2022,0.0184,01-01-2013,0.007,If redeemed/switched out within 1 day from the date of allotment: 0.0070%\\rIf redemption/switch out within 2 days from the date of allotment: 0.0065%\\rIf redemption/switch out within 3 days from the date of allotment: 0.0060%\\rIf redemption/switch out within 4 days from the date of allotment: 0.0055%\\rIf redemption/switch out within 5 days from the date of allotment: 0.0050%\\rIf redemption/switch out within 6 days from the date of allotment: 0.0045%\\rIf redemption/switch out 7 days onwards from the date of allotment: Nil.,0.17,4.8658,4.0602,4.0033,4.5585,3.2724,TRUE,35836600000,Mr. Dwijendra Srivastava,0,3,Coins_SVGs-40.svg,inf173k01gu0 sundaram liquid fund debt liquid growth,mf,PMFLFZG,SUNDARAM LIQUID FUND - DIRECT PLAN GROWTH,INF173K01GU0,10,90
INF174K01FI5,KOTAKMAHINDRAMF,Kotak Gilt Fund,kotak gilt fund,FALSE,TRUE,5000,1,1000,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Gilt,Regular,T1,80.2065,23-12-2022,-0.0047,23-12-1998,0,Nil,1.49,2.3725,2.4736,5.8485,6.7302,6.8588,FALSE,17793400000,Mr. Abhishek Bisen,0,2,Coins_SVGs-152.svg,inf174k01fi5 kotak gilt fund debt gilt growth,mf,KGIREGG,KOTAK GILT FUND - REGULAR PLAN - GROWTH,INF174K01FI5,10,90
INF174K01FK1,KOTAKMAHINDRAMF,Kotak Gilt Fund,kotak gilt fund,FALSE,TRUE,5000,1,1000,0.001,0.001,P,Dividend interim payout,INTERIM,dividend interim payout,IDCW Interim,23-12-2020,1.522,Debt,Gilt,Regular,T1,15.6725,23-12-2022,-0.0045,23-12-1998,0,Nil,1.49,2.3724,2.4736,2.1203,3.283,4.0888,FALSE,17793400000,Mr. Abhishek Bisen,0,2,Coins_SVGs-152.svg,inf174k01fk1 kotak gilt fund debt gilt dividend interim payout,mf,KGIREGQDP,KOTAK GILT FUND - REGULAR PLAN - QUARTERLY IDCW PAYOUT,INF174K01FK1,10,90
INF174K01FL9,KOTAKMAHINDRAMF,Kotak Gilt - Investment Provident Fund and Trust,kotak gilt - investment provident fund and trust,FALSE,TRUE,5000,1,1000,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Gilt,Regular,T1,82.0563,23-12-2022,-0.0046,11-11-2003,0,Nil,1.51,2.3727,2.4737,5.8486,6.7301,6.8587,FALSE,17793400000,Mr. Abhishek Bisen,0,2,Coins_SVGs-152.svg,inf174k01fl9 kotak gilt - investment provident fund and trust debt gilt growth,mf,KTKGILT,KOTAK GILT FUND - PROVIDEND FUND AND TRUST - GROWTH,INF174K01FL9,10,90
INF174K01KE4,KOTAKMAHINDRAMF,Kotak Gilt Fund,kotak gilt fund,TRUE,TRUE,5000,1,1000,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Gilt,Direct,T1,88.6883,23-12-2022,-0.0017,01-01-2013,0,Nil,0.4,3.4723,3.5493,6.9508,7.8357,7.9648,TRUE,17793400000,Mr. Abhishek Bisen,0,2,Coins_SVGs-152.svg,inf174k01ke4 kotak gilt fund debt gilt growth,mf,KKGIG02D,KOTAK GILT FUND - DIRECT PLAN - GROWTH,INF174K01KE4,10,90
INF174K01KM7,KOTAKMAHINDRAMF,Kotak Gilt - Investment Provident Fund and Trust,kotak gilt - investment provident fund and trust,FALSE,TRUE,5000,1,1000,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Gilt,Direct,T1,90.819,23-12-2022,-0.0017,01-01-2013,0,Nil,0.46,3.4594,3.5432,6.9466,7.8325,7.9661,FALSE,17793400000,Mr. Abhishek Bisen,0,2,Coins_SVGs-152.svg,inf174k01km7 kotak gilt - investment provident fund and trust debt gilt growth,mf,KKGIG102D,KOTAK GILT FUND - PROVIDEND FUND AND TRUST - DIRECT PLAN - GROWTH,INF174K01KM7,10,90
